file,species
4e9d3765f.png,Charlock
5ca2687a4.png,Charlock
a8da9c08d.png,Charlock
a544fc46d.png,Scentless Mayweed
c4ed8ed38.png,Charlock
3e9f41817.png,Loose Silky-bent
a4b61a4ea.png,Loose Silky-bent
e478c452c.png,Sugar beet
71b232519.png,Loose Silky-bent
6680836dd.png,Sugar beet
65d08b894.png,Sugar beet
aee6fa3df.png,Loose Silky-bent
e73e308be.png,Fat Hen
5a6bf96f6.png,Small-flowered Cranesbill
9c8b08a24.png,Loose Silky-bent
1c52ea820.png,Fat Hen
e5297b675.png,Loose Silky-bent
79dafec17.png,Loose Silky-bent
cae684f8f.png,Charlock
4e1190d78.png,Loose Silky-bent
089ad62a7.png,Common Chickweed
060450d79.png,Common Chickweed
6c874918c.png,Loose Silky-bent
ac75d3326.png,Loose Silky-bent
5c3cd7ea2.png,Scentless Mayweed
25a4c427e.png,Loose Silky-bent
969a851be.png,Scentless Mayweed
16357b436.png,Loose Silky-bent
4287d810c.png,Common Chickweed
ab0f67743.png,Loose Silky-bent
74d810f87.png,Loose Silky-bent
2d992d1fb.png,Loose Silky-bent
dcd7ff249.png,Scentless Mayweed
c74c5b7fc.png,Charlock
79fba50db.png,Common Chickweed
7691014a1.png,Charlock
60fea2ef6.png,Sugar beet
24d78df74.png,Common Chickweed
dc4cd56a3.png,Loose Silky-bent
7cabd68cc.png,Loose Silky-bent
9b4800b42.png,Charlock
976e4e079.png,Common Chickweed
8585f9718.png,Loose Silky-bent
02cfeb38d.png,Loose Silky-bent
2df78338c.png,Common Chickweed
eaf0815e2.png,Small-flowered Cranesbill
9643fc5f4.png,Charlock
466bb6d3b.png,Charlock
bd72d4d8a.png,Scentless Mayweed
615d2b0a9.png,Sugar beet
668c1007c.png,Charlock
d3331e071.png,Fat Hen
948cdb277.png,Charlock
8b9144917.png,Small-flowered Cranesbill
b03397525.png,Loose Silky-bent
7f31c7f42.png,Loose Silky-bent
74068643d.png,Loose Silky-bent
5e6a237f2.png,Sugar beet
d0cdc768f.png,Sugar beet
92292055d.png,Common Chickweed
3281183f9.png,Scentless Mayweed
dabea05f4.png,Loose Silky-bent
acdb75e00.png,Loose Silky-bent
3f64c2c1b.png,Fat Hen
e7077322d.png,Scentless Mayweed
36839d5e9.png,Scentless Mayweed
e1abb4ff9.png,Sugar beet
33317fc2a.png,Fat Hen
78750e0ff.png,Charlock
7a38416be.png,Charlock
8faadb6a8.png,Sugar beet
406162ef9.png,Charlock
b7ad92859.png,Charlock
3edf5e9ef.png,Sugar beet
3eda9cbb6.png,Scentless Mayweed
b62dca166.png,Fat Hen
a800caead.png,Sugar beet
23bc8ec4f.png,Common Chickweed
239bdf640.png,Charlock
1459e96a0.png,Fat Hen
36d62bf36.png,Loose Silky-bent
a2b703e21.png,Small-flowered Cranesbill
32b42c120.png,Small-flowered Cranesbill
bb1c84bbc.png,Loose Silky-bent
a85fc8c9a.png,Small-flowered Cranesbill
b130a0632.png,Fat Hen
03ef36742.png,Scentless Mayweed
486e59179.png,Common Chickweed
0e8492cb1.png,Fat Hen
da5255450.png,Common Chickweed
0086a6340.png,Common Chickweed
29f49cd0b.png,Fat Hen
1376f3b63.png,Loose Silky-bent
d8f4923f8.png,Common Chickweed
219fd68d5.png,Scentless Mayweed
35a90f8d0.png,Scentless Mayweed
5af1d74ee.png,Sugar beet
c63da993b.png,Sugar beet
65e262a6d.png,Charlock
f0ffa00bd.png,Sugar beet
2e86f1085.png,Fat Hen
523e5505c.png,Fat Hen
05341a8a6.png,Scentless Mayweed
cd6adba97.png,Small-flowered Cranesbill
8cfd98117.png,Scentless Mayweed
64fe8beb9.png,Scentless Mayweed
90d119d25.png,Scentless Mayweed
61b044411.png,Scentless Mayweed
966ae5ad9.png,Loose Silky-bent
0c51bf229.png,Charlock
32a8c8a1d.png,Loose Silky-bent
a8c8a1db0.png,Common Chickweed
67e185673.png,Small-flowered Cranesbill
d93c7ab6d.png,Loose Silky-bent
a2c89c367.png,Charlock
25fa8d109.png,Fat Hen
44e8b8833.png,Small-flowered Cranesbill
c60e91e07.png,Loose Silky-bent
a890ac088.png,Charlock
4c7838de4.png,Common Chickweed
03e322a29.png,Sugar beet
a060c1cf8.png,Charlock
8cf909eb3.png,Charlock
e15472085.png,Common Chickweed
fc3e58836.png,Scentless Mayweed
fea1d13d6.png,Small-flowered Cranesbill
3526b05cc.png,Scentless Mayweed
a1e0a6c02.png,Fat Hen
2ea664465.png,Sugar beet
41e07778c.png,Charlock
808578ed5.png,Charlock
76dbd1054.png,Scentless Mayweed
4bcdaa5e2.png,Charlock
5bd71f445.png,Common Chickweed
97b2f0a10.png,Small-flowered Cranesbill
d5f7dd60a.png,Scentless Mayweed
d9c50616e.png,Sugar beet
377283a21.png,Charlock
d14aa43f3.png,Small-flowered Cranesbill
824f5d4e5.png,Sugar beet
6a41bf95b.png,Scentless Mayweed
b0acaff4a.png,Loose Silky-bent
4ea7493d5.png,Sugar beet
59e1cea8d.png,Charlock
03566743d.png,Fat Hen
8e2e5604e.png,Sugar beet
429211ee6.png,Fat Hen
e6f1211a2.png,Sugar beet
c10db7ae2.png,Small-flowered Cranesbill
728eabae1.png,Charlock
558aa7deb.png,Loose Silky-bent
fda39e16f.png,Loose Silky-bent
659412b1a.png,Loose Silky-bent
c6b76307d.png,Fat Hen
9fab816f2.png,Fat Hen
2ff5cb348.png,Sugar beet
65489944f.png,Charlock
5315c2dca.png,Loose Silky-bent
4bbf1f6ea.png,Charlock
78c5fba1d.png,Sugar beet
01291174f.png,Fat Hen
a8b431a3e.png,Sugar beet
dce2f6612.png,Common Chickweed
060f1dc84.png,Fat Hen
4e18ab737.png,Fat Hen
592473c83.png,Loose Silky-bent
e5368474f.png,Scentless Mayweed
205df1df3.png,Fat Hen
afcf6abd5.png,Small-flowered Cranesbill
88d8a4508.png,Fat Hen
76555b064.png,Loose Silky-bent
eef131644.png,Loose Silky-bent
5a38ac566.png,Loose Silky-bent
6bce55e05.png,Charlock
